year,location,educational_qualification,field_of_study,gender,age_group,population_group,median_income,number_graduates
2014,Alberta,Doctoral degree,Social and behavioural sciences and law [4],Woman,15 to 34 years,Not a visible minority,61000.0,20.0
2014,Alberta,Master's degree,"Agriculture, natural resources and conservation [9]",Man,15 to 34 years,Not a visible minority,89400.0,20.0
2014,Alberta,Master's degree,"Agriculture, natural resources and conservation [9]",Woman,15 to 34 years,Not a visible minority,69600.0,20.0
2014,Alberta,Master's degree,"Architecture, engineering, and related trades [8]",Man,15 to 34 years,Not a visible minority,93600.0,60.0
2014,Alberta,Master's degree,"Architecture, engineering, and related trades [8]",Man,35 to 64 years,South Asian,61600.0,20.0
2014,Alberta,Master's degree,"Architecture, engineering, and related trades [8]",Woman,15 to 34 years,Not a visible minority,80100.0,40.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Man,15 to 34 years,Chinese,108400.0,40.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Man,15 to 34 years,Not a visible minority,175100.0,90.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Man,15 to 34 years,South Asian,144700.0,20.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Man,35 to 64 years,Not a visible minority,158100.0,100.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Woman,15 to 34 years,Not a visible minority,92600.0,130.0
2014,Alberta,Master's degree,"Business, management and public administration [5]",Woman,35 to 64 years,Not a visible minority,129600.0,110.0
2014,Alberta,Master's degree,Education [1],Man,15 to 34 years,Not a visible minority,125100.0,50.0
2014,Alberta,Master's degree,Education [1],Man,35 to 64 years,Not a visible minority,129700.0,70.0
2014,Alberta,Master's degree,Education [1],Woman,15 to 34 years,Not a visible minority,86800.0,90.0
2014,Alberta,Master's degree,Education [1],Woman,35 to 64 years,Not a visible minority,124200.0,230.0
2014,Alberta,Master's degree,Health and related fields [10],Man,15 to 34 years,Not a visible minority,100600.0,30.0
2014,Alberta,Master's degree,Health and related fields [10],Man,35 to 64 years,Not a visible minority,111300.0,40.0
2014,Alberta,Master's degree,Health and related fields [10],Woman,15 to 34 years,Not a visible minority,87100.0,330.0
